AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,27,Chip 1,INFRA,17,3,#000000,0,1,27,27 - AZ01 - 27,0,
AZ01,27,Chip 2,INFRA,37,3,#000000,0,1,27,27 - AZ01 - 27,0,
AZ01,28,Chip 1,CSCF PL,0,8,#02675F,1,1,28,28 - AZ01 - 28,29,16 de 29
AZ01,28,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,28,28 - AZ01 - 28,13,8 de 13
AZ01,28,Chip 1,INFRA,17,3,#000000,0,1,28,28 - AZ01 - 28,0,
AZ01,28,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,28,28 - AZ01 - 28,15,15 de 15
AZ01,28,Chip 2,SBG PL,25,10,#00A6A6,1,1,28,28 - AZ01 - 28,14,14 de 14
AZ01,28,Chip 2,INFRA,37,3,#000000,0,1,28,28 - AZ01 - 28,0,
AZ01,29,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,29,29 - AZ01 - 29,15,7 de 15
AZ01,29,Chip 1,DRA PL,5,6,#FDD835,1,2,29,29 - AZ01 - 29,9,6 de 9
AZ01,29,Chip 1,DRA PL,11,6,#FDD835,1,2,29,29 - AZ01 - 29,9,7 de 9
AZ01,29,Chip 1,INFRA,17,3,#000000,0,1,29,29 - AZ01 - 29,0,
AZ01,29,Chip 2,CSCF PL,20,8,#02675F,1,1,29,29 - AZ01 - 29,29,29 de 29
AZ01,29,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,29,29 - AZ01 - 29,13,13 de 13
AZ01,29,Chip 2,INFRA,37,3,#000000,0,1,29,29 - AZ01 - 29,0,
AZ02,1,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,30,30 - AZ02 - 1,26,1 de 26
AZ02,1,Chip 1,INFRA,17,3,#000000,0,1,30,30 - AZ02 - 1,0,
AZ02,1,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,30,30 - AZ02 - 1,26,14 de 26
AZ02,1,Chip 2,INFRA,37,3,#000000,0,1,30,30 - AZ02 - 1,0,
AZ02,2,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,31,31 - AZ02 - 2,26,2 de 26
AZ02,2,Chip 1,INFRA,17,3,#000000,0,1,31,31 - AZ02 - 2,0,
AZ02,2,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,31,31 - AZ02 - 2,26,15 de 26
AZ02,2,Chip 2,INFRA,37,3,#000000,0,1,31,31 - AZ02 - 2,0,
AZ02,3,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,32,32 - AZ02 - 3,26,3 de 26
AZ02,3,Chip 1,INFRA,17,3,#000000,0,1,32,32 - AZ02 - 3,0,
AZ02,3,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,32,32 - AZ02 - 3,26,16 de 26
AZ02,3,Chip 2,INFRA,37,3,#000000,0,1,32,32 - AZ02 - 3,0,
AZ02,4,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,33,33 - AZ02 - 4,26,4 de 26
AZ02,4,Chip 1,INFRA,17,3,#000000,0,1,33,33 - AZ02 - 4,0,
AZ02,4,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,33,33 - AZ02 - 4,26,17 de 26
AZ02,4,Chip 2,INFRA,37,3,#000000,0,1,33,33 - AZ02 - 4,0,
AZ02,5,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,34,34 - AZ02 - 5,26,5 de 26
AZ02,5,Chip 1,INFRA,17,3,#000000,0,1,34,34 - AZ02 - 5,0,
AZ02,5,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,34,34 - AZ02 - 5,26,18 de 26
AZ02,5,Chip 2,INFRA,37,3,#000000,0,1,34,34 - AZ02 - 5,0,
AZ02,6,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,35,35 - AZ02 - 6,26,6 de 26
AZ02,6,Chip 1,INFRA,17,3,#000000,0,1,35,35 - AZ02 - 6,0,
AZ02,6,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,35,35 - AZ02 - 6,26,19 de 26
AZ02,6,Chip 2,INFRA,37,3,#000000,0,1,35,35 - AZ02 - 6,0,
AZ02,7,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,36,36 - AZ02 - 7,26,7 de 26
AZ02,7,Chip 1,INFRA,17,3,#000000,0,1,36,36 - AZ02 - 7,0,
AZ02,7,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,36,36 - AZ02 - 7,26,20 de 26
AZ02,7,Chip 2,INFRA,37,3,#000000,0,1,36,36 - AZ02 - 7,0,
AZ02,8,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,37,37 - AZ02 - 8,26,8 de 26
AZ02,8,Chip 1,INFRA,17,3,#000000,0,1,37,37 - AZ02 - 8,0,
AZ02,8,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,37,37 - AZ02 - 8,26,21 de 26
AZ02,8,Chip 2,INFRA,37,3,#000000,0,1,37,37 - AZ02 - 8,0,
AZ02,9,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,38,38 - AZ02 - 9,26,9 de 26
AZ02,9,Chip 1,INFRA,17,3,#000000,0,1,38,38 - AZ02 - 9,0,
AZ02,9,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,38,38 - AZ02 - 9,26,22 de 26
AZ02,9,Chip 2,INFRA,37,3,#000000,0,1,38,38 - AZ02 - 9,0,
AZ02,10,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,39,39 - AZ02 - 10,26,10 de 26
AZ02,10,Chip 1,INFRA,17,3,#000000,0,1,39,39 - AZ02 - 10,0,
AZ02,10,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,39,39 - AZ02 - 10,26,23 de 26
AZ02,10,Chip 2,INFRA,37,3,#000000,0,1,39,39 - AZ02 - 10,0,
AZ02,11,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,40,40 - AZ02 - 11,26,11 de 26
AZ02,11,Chip 1,INFRA,17,3,#000000,0,1,40,40 - AZ02 - 11,0,
AZ02,11,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,40,40 - AZ02 - 11,26,24 de 26
AZ02,11,Chip 2,INFRA,37,3,#000000,0,1,40,40 - AZ02 - 11,0,
AZ02,12,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,41,41 - AZ02 - 12,26,12 de 26
AZ02,12,Chip 1,INFRA,17,3,#000000,0,1,41,41 - AZ02 - 12,0,
AZ02,12,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,41,41 - AZ02 - 12,26,25 de 26
AZ02,12,Chip 2,INFRA,37,3,#000000,0,1,41,41 - AZ02 - 12,0,
AZ02,13,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,42,42 - AZ02 - 13,26,13 de 26
AZ02,13,Chip 1,INFRA,17,3,#000000,0,1,42,42 - AZ02 - 13,0,
AZ02,13,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,42,42 - AZ02 - 13,26,26 de 26
AZ02,13,Chip 2,INFRA,37,3,#000000,0,1,42,42 - AZ02 - 13,0,
AZ03,1,Chip 1,HSS-FE PL,0,8,#43A047,1,4,43,43 - AZ03 - 1,12,1 de 12
AZ03,1,Chip 1,HSS-FE PL,8,8,#43A047,1,4,43,43 - AZ03 - 1,12,2 de 12
AZ03,1,Chip 1,INFRA,17,3,#000000,0,1,43,43 - AZ03 - 1,0,
AZ03,1,Chip 2,EDA PN,20,5,#8B5E3C,1,1,43,43 - AZ03 - 1,3,3 de 3
AZ03,1,Chip 2,INFRA,37,3,#000000,0,1,43,43 - AZ03 - 1,0,
AZ03,2,Chip 1,HSS-FE PL,0,8,#43A047,1,4,44,44 - AZ03 - 2,12,3 de 12
AZ03,2,Chip 1,HSS-FE PL,8,8,#43A047,1,4,44,44 - AZ03 - 2,12,4 de 12
AZ03,2,Chip 1,INFRA,17,3,#000000,0,1,44,44 - AZ03 - 2,0,
AZ03,2,Chip 2,HLR-FE PL SPX - CP,20,2,#8BC34A,1,1,44,44 - AZ03 - 2,2,1 de 2
AZ03,2,Chip 2,HLR-FE PL Traffic - BC,22,5,#8BC34A,1,1,44,44 - AZ03 - 2,3,2 de 3
AZ03,2,Chip 2,HSS-FE PL,27,8,#43A047,1,4,44,44 - AZ03 - 2,12,8 de 12
AZ03,2,Chip 2,INFRA,37,3,#000000,0,1,44,44 - AZ03 - 2,0,
AZ03,3,Chip 1,EDA PN,0,5,#8B5E3C,1,1,45,45 - AZ03 - 3,3,1 de 3
AZ03,3,Chip 1,HLR-FE PL Traffic - BC,5,5,#8BC34A,1,1,45,45 - AZ03 - 3,3,1 de 3
AZ03,3,Chip 1,INFRA,17,3,#000000,0,1,45,45 - AZ03 - 3,0,
