AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ03,3,Chip 1,INFRA,17,3,#000000,0,1,41,41 - AZ03 - 3,0,
AZ03,3,Chip 2,HLR-FE PL Traffic - BC,20,5,#00BFFF,1,1,41,41 - AZ03 - 3,3,2 de 3
AZ03,3,Chip 2,HSS-FE PL,25,8,#1E88E5,1,4,41,41 - AZ03 - 3,11,9 de 11
AZ03,3,Chip 2,INFRA,37,3,#000000,0,1,41,41 - AZ03 - 3,0,
AZ03,4,Chip 1,HSS-FE PL,0,8,#1E88E5,1,4,42,42 - AZ03 - 4,11,6 de 11
AZ03,4,Chip 1,INFRA,17,3,#000000,0,1,42,42 - AZ03 - 4,0,
AZ03,4,Chip 2,EDA PN,20,5,#014421,1,1,42,42 - AZ03 - 4,3,3 de 3
AZ03,4,Chip 2,HLR-FE PL SPX - CP,25,2,#00BFFF,1,1,42,42 - AZ03 - 4,2,2 de 2
AZ03,4,Chip 2,HLR-FE PL Traffic - BC,27,5,#00BFFF,1,1,42,42 - AZ03 - 4,3,3 de 3
AZ03,4,Chip 2,INFRA,37,3,#000000,0,1,42,42 - AZ03 - 4,0,
AZ03,5,Chip 1,EDA PN,0,5,#014421,1,1,43,43 - AZ03 - 5,3,1 de 3
AZ03,5,Chip 1,HSS-FE PL,5,8,#1E88E5,1,4,43,43 - AZ03 - 5,11,7 de 11
AZ03,5,Chip 1,INFRA,17,3,#000000,0,1,43,43 - AZ03 - 5,0,
AZ03,5,Chip 2,HSS-FE PL,20,8,#1E88E5,1,4,43,43 - AZ03 - 5,11,10 de 11
AZ03,5,Chip 2,HSS-FE PL,28,8,#1E88E5,1,4,43,43 - AZ03 - 5,11,11 de 11
AZ03,5,Chip 2,INFRA,37,3,#000000,0,1,43,43 - AZ03 - 5,0,
AZ08,1,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,44,44 - AZ08 - 1,18,1 de 18
AZ08,1,Chip 1,INFRA,17,3,#000000,0,1,44,44 - AZ08 - 1,0,
AZ08,1,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,44,44 - AZ08 - 1,18,10 de 18
AZ08,1,Chip 2,INFRA,37,3,#000000,0,1,44,44 - AZ08 - 1,0,
AZ08,2,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,45,45 - AZ08 - 2,18,2 de 18
AZ08,2,Chip 1,INFRA,17,3,#000000,0,1,45,45 - AZ08 - 2,0,
AZ08,2,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,45,45 - AZ08 - 2,18,11 de 18
AZ08,2,Chip 2,INFRA,37,3,#000000,0,1,45,45 - AZ08 - 2,0,
AZ08,3,Chip 1,EPG-C SFOC,0,12,#8BC34A,1,2,46,46 - AZ08 - 3,7,1 de 7
AZ08,3,Chip 1,INFRA,17,3,#000000,0,1,46,46 - AZ08 - 3,0,
AZ08,3,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,46,46 - AZ08 - 3,18,12 de 18
AZ08,3,Chip 2,INFRA,37,3,#000000,0,1,46,46 - AZ08 - 3,0,
AZ08,4,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,47,47 - AZ08 - 4,18,3 de 18
AZ08,4,Chip 1,INFRA,17,3,#000000,0,1,47,47 - AZ08 - 4,0,
AZ08,4,Chip 2,EPG-C SFOC,20,12,#8BC34A,1,2,47,47 - AZ08 - 4,7,5 de 7
AZ08,4,Chip 2,INFRA,37,3,#000000,0,1,47,47 - AZ08 - 4,0,
AZ08,5,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,48,48 - AZ08 - 5,18,4 de 18
