AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Numero
AZ02,12,Chip 1,INFRA,17,3,#000000,0,1,41,41 - AZ02 - 12,
AZ02,12,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,41,41 - AZ02 - 12,1 de 1
AZ02,12,Chip 2,INFRA,37,3,#000000,0,1,41,41 - AZ02 - 12,
AZ02,13,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,42,42 - AZ02 - 13,1 de 1
AZ02,13,Chip 1,INFRA,17,3,#000000,0,1,42,42 - AZ02 - 13,
AZ02,13,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,42,42 - AZ02 - 13,1 de 1
AZ02,13,Chip 2,INFRA,37,3,#000000,0,1,42,42 - AZ02 - 13,
AZ03,1,Chip 1,HSS-FE PL,0,8,#43A047,1,4,43,43 - AZ03 - 1,1 de 1
AZ03,1,Chip 1,CUDB SC,8,8,#004B49,1,1,43,43 - AZ03 - 1,1 de 1
AZ03,1,Chip 1,INFRA,17,3,#000000,0,1,43,43 - AZ03 - 1,
AZ03,1,Chip 2,EDA PN,20,5,#8B5E3C,1,1,43,43 - AZ03 - 1,1 de 1
AZ03,1,Chip 2,HLR-FE PL SPX - CP,25,2,#8BC34A,1,1,43,43 - AZ03 - 1,1 de 1
AZ03,1,Chip 2,HLR-FE PL Traffic - BC,27,5,#8BC34A,1,1,43,43 - AZ03 - 1,1 de 1
AZ03,1,Chip 2,INFRA,37,3,#000000,0,1,43,43 - AZ03 - 1,
AZ03,2,Chip 1,HLR-FE PL Traffic - BC,0,5,#8BC34A,1,1,44,44 - AZ03 - 2,1 de 1
AZ03,2,Chip 1,HSS-FE PL,5,8,#43A047,1,4,44,44 - AZ03 - 2,1 de 1
AZ03,2,Chip 1,INFRA,17,3,#000000,0,1,44,44 - AZ03 - 2,
AZ03,2,Chip 2,EDA PN,20,5,#8B5E3C,1,1,44,44 - AZ03 - 2,1 de 1
AZ03,2,Chip 2,HSS-FE PL,25,8,#43A047,1,4,44,44 - AZ03 - 2,1 de 1
AZ03,2,Chip 2,INFRA,37,3,#000000,0,1,44,44 - AZ03 - 2,
AZ03,3,Chip 1,EDA PN,0,5,#8B5E3C,1,1,45,45 - AZ03 - 3,1 de 1
AZ03,3,Chip 1,HLR-FE PL SPX - CP,5,2,#8BC34A,1,1,45,45 - AZ03 - 3,1 de 1
AZ03,3,Chip 1,HSS-FE PL,7,8,#43A047,1,4,45,45 - AZ03 - 3,1 de 1
AZ03,3,Chip 1,INFRA,17,3,#000000,0,1,45,45 - AZ03 - 3,
AZ03,3,Chip 2,HSS-FE PL,20,8,#43A047,1,4,45,45 - AZ03 - 3,1 de 2
AZ03,3,Chip 2,HSS-FE PL,28,8,#43A047,1,4,45,45 - AZ03 - 3,2 de 2
AZ03,3,Chip 2,INFRA,37,3,#000000,0,1,45,45 - AZ03 - 3,
AZ03,4,Chip 1,HSS-FE PL,0,8,#43A047,1,4,46,46 - AZ03 - 4,1 de 2
AZ03,4,Chip 1,HSS-FE PL,8,8,#43A047,1,4,46,46 - AZ03 - 4,2 de 2
AZ03,4,Chip 1,INFRA,17,3,#000000,0,1,46,46 - AZ03 - 4,
AZ03,4,Chip 2,HSS-FE PL,20,8,#43A047,1,4,46,46 - AZ03 - 4,1 de 1
AZ03,4,Chip 2,INFRA,37,3,#000000,0,1,46,46 - AZ03 - 4,
AZ03,5,Chip 1,HLR-FE PL Traffic - BC,0,5,#8BC34A,1,1,47,47 - AZ03 - 5,1 de 1
AZ03,5,Chip 1,HSS-FE PL,5,8,#43A047,1,4,47,47 - AZ03 - 5,1 de 1
AZ03,5,Chip 1,INFRA,17,3,#000000,0,1,47,47 - AZ03 - 5,
AZ03,5,Chip 2,HSS-FE PL,20,8,#43A047,1,4,47,47 - AZ03 - 5,1 de 2
AZ03,5,Chip 2,HSS-FE PL,28,8,#43A047,1,4,47,47 - AZ03 - 5,2 de 2
AZ03,5,Chip 2,INFRA,37,3,#000000,0,1,47,47 - AZ03 - 5,
AZ08,1,Chip 1,SAPC-PCRF TP,0,17,#27408B,1,1,48,48 - AZ08 - 1,1 de 1
AZ08,1,Chip 1,INFRA,17,3,#000000,0,1,48,48 - AZ08 - 1,
AZ08,1,Chip 2,INFRA,37,3,#000000,0,1,48,48 - AZ08 - 1,
AZ08,2,Chip 1,SAPC-PCRF TP,0,17,#27408B,1,1,49,49 - AZ08 - 2,1 de 1
AZ08,2,Chip 1,INFRA,17,3,#000000,0,1,49,49 - AZ08 - 2,
AZ08,2,Chip 2,SGSN-MME GPB/LC,20,17,#B2005F,1,2,49,49 - AZ08 - 2,1 de 1
AZ08,2,Chip 2,INFRA,37,3,#000000,0,1,49,49 - AZ08 - 2,
AZ08,3,Chip 1,SAPC-PCRF TP,0,17,#27408B,1,1,50,50 - AZ08 - 3,1 de 1
AZ08,3,Chip 1,INFRA,17,3,#000000,0,1,50,50 - AZ08 - 3,
AZ08,3,Chip 2,SGSN-MME GPB/LC,20,17,#B2005F,1,2,50,50 - AZ08 - 3,1 de 1
AZ08,3,Chip 2,INFRA,37,3,#000000,0,1,50,50 - AZ08 - 3,
AZ08,4,Chip 1,EPG-C SFOC,0,17,#00BFFF,1,2,51,51 - AZ08 - 4,1 de 1
AZ08,4,Chip 1,INFRA,17,3,#000000,0,1,51,51 - AZ08 - 4,
AZ08,4,Chip 2,SAPC-PCRF TP,20,17,#27408B,1,1,51,51 - AZ08 - 4,1 de 1
AZ08,4,Chip 2,INFRA,37,3,#000000,0,1,51,51 - AZ08 - 4,
